shape,name,lng,lat
"117.30253,31.75295_117.306401,31.752957_117.306437,31.752954_117.306467,31.752948_117.30649,31.752936_117.306503,31.752919_117.306507,31.752898_117.306526,31.751267_117.306521,31.751249_117.306507,31.751237_117.306492,31.751227_117.306462,31.751224_117.30513,31.751251_117.305131,31.751224_117.30488,31.751221_117.304899,31.75028_117.304895,31.750271_117.304889,31.750261_117.304876,31.750255_117.30485,31.750252_117.30256,31.750271_117.302527,31.75028_117.302509,31.750291_117.302492,31.750308_117.302476,31.750327_117.302472,31.75034_117.302471,31.750355_117.30246,31.751866_117.302462,31.752901_117.302462,31.752917_117.302469,31.752928_117.302475,31.752935_117.302487,31.752943_117.302504,31.752948_117.30253,31.75295",万科时代之光(建设中),117.304287,31.751754
"117.232313,31.894576_117.234125,31.894888_117.234529,31.893903_117.234777,31.893317_117.232864,31.892969_117.232711,31.893062_117.232313,31.894576",万科森林公园旭庭,117.233493,31.893918
"117.233279,31.888582_117.233171,31.888541_117.232624,31.88727_117.232624,31.887229_117.232651,31.887156_117.23271,31.887088_117.232957,31.886983_117.233815,31.88625_117.233896,31.886154_117.234019,31.886109_117.234153,31.88609_117.234239,31.88614_117.235395,31.887064_117.235398,31.88724_117.23507,31.887552_117.234716,31.887848_117.234293,31.888145_117.233719,31.888445_117.233279,31.888582",万科森林城曦园,117.233938,31.887332
"117.235177,31.891054_117.235294,31.89099_117.235488,31.891035_117.235925,31.889984_117.236258,31.889127_117.236577,31.888333_117.236564,31.888116_117.236528,31.888042_117.236432,31.888005_117.236037,31.88793_117.235838,31.888082_117.235761,31.888121_117.235657,31.888126_117.23529,31.88805_117.234988,31.887983_117.234786,31.888114_117.234182,31.888474_117.233688,31.888733_117.233613,31.888807_117.233978,31.890753_117.235177,31.891054",万科森林公园朗庭,117.235036,31.889403
"117.230488,31.892539_117.232451,31.892927_117.232502,31.892972_117.232505,31.89305_117.232253,31.894058_117.232025,31.894919_117.231982,31.894974_117.231955,31.89499_117.23188,31.895001_117.231129,31.894855_117.230034,31.89465_117.229957,31.894589_117.229927,31.894527_117.229927,31.894455_117.229965,31.894272_117.230297,31.892653_117.230335,31.892587_117.230383,31.89256_117.230488,31.892539",万科森林公园睿庭,117.231192,31.893765
"117.227988,31.890128_117.230415,31.890611_117.230438,31.890622_117.230466,31.890648_117.230493,31.890684_117.230504,31.890701_117.230511,31.890726_117.230512,31.89074_117.230411,31.891336_117.2303,31.891934_117.23022,31.892268_117.230198,31.892294_117.230173,31.892306_117.230144,31.892315_117.230104,31.892322_117.230077,31.892322_117.227745,31.891883_117.22771,31.891873_117.227693,31.891861_117.227671,31.891846_117.227657,31.891832_117.227639,31.891812_117.227633,31.891793_117.227634,31.891768_117.227753,31.891002_117.227824,31.890239_117.22783,31.890218_117.227836,31.890196_117.227844,31.890183_117.227858,31.890169_117.227873,31.890157_117.22789,31.890144_117.227909,31.890135_117.227938,31.890126_117.22796,31.890125_117.227988,31.890128",万科森林公园锦庭,117.229057,31.891231
"117.230772,31.888883_117.23064,31.887666_117.23078,31.887537_117.230978,31.887543_117.231316,31.887525_117.231697,31.887464_117.232212,31.887332_117.232587,31.888243_117.23263,31.888281_117.232671,31.888386_117.232598,31.888473_117.232657,31.888668_117.232655,31.888696_117.232333,31.888773_117.231928,31.88883_117.231558,31.888871_117.231128,31.888887_117.230772,31.888883",馨园,117.231612,31.888175
"117.302436,31.737996_117.302443,31.737978_117.302451,31.737963_117.302462,31.737949_117.302483,31.737932_117.302511,31.737919_117.302541,31.737903_117.302581,31.737891_117.302608,31.737888_117.302644,31.737886_117.310701,31.737928_117.310727,31.737929_117.310747,31.737936_117.310762,31.737942_117.310779,31.737957_117.31079,31.737972_117.310796,31.737993_117.310797,31.740593_117.310794,31.740605_117.31079,31.740614_117.310782,31.740621_117.310764,31.740626_117.306933,31.740596_117.306911,31.740592_117.306892,31.740587_117.306868,31.740578_117.306851,31.740567_117.30684,31.740555_117.306832,31.74054_117.306825,31.740519_117.306826,31.739496_117.306821,31.739483_117.306814,31.739478_117.306805,31.739474_117.306794,31.739472_117.306776,31.73947_117.302504,31.739476_117.302489,31.739476_117.302475,31.739471_117.302464,31.739466_117.302457,31.739459_117.302449,31.73945_117.302441,31.739429_117.302436,31.737996",万科蓝山,117.307169,31.739037
"117.306977,31.740543_117.306868,31.740448_117.306819,31.738128_117.307066,31.737957_117.310618,31.737956_117.310756,31.738071_117.310746,31.740525_117.306977,31.740543",万科蓝山2期,117.308798,31.739245
"117.275373,31.884742_117.275783,31.884819_117.275919,31.884694_117.276019,31.884724_117.276121,31.884684_117.276192,31.884576_117.276251,31.884467_117.276614,31.884565_117.276699,31.884564_117.277071,31.884676_117.277175,31.884471_117.277532,31.884583_117.277618,31.884373_117.276242,31.883974_117.276183,31.884121_117.276262,31.884229_117.276136,31.88428_117.276074,31.884316_117.27588,31.88441_117.275445,31.884567_117.275373,31.884742",万花园,117.276491,31.88442
"117.275872,31.712786_117.275827,31.712714_117.275803,31.712639_117.275798,31.712118_117.275818,31.71132_117.275823,31.709803_117.275851,31.709761_117.275916,31.70973_117.276006,31.709723_117.278272,31.709687_117.280673,31.709683_117.280748,31.709731_117.28077,31.709819_117.28074,31.711432_117.279367,31.71144_117.279324,31.71285_117.279335,31.712926_117.277608,31.71291_117.276693,31.712914_117.276235,31.712915_117.276007,31.712916_117.275912,31.712845_117.275872,31.712786",万象公馆,117.278028,31.711173
"117.265187,31.84451_117.264258,31.844928_117.264275,31.845675_117.265272,31.845709_117.265279,31.845156_117.265248,31.844532_117.265187,31.84451",万象新天,117.264808,31.845191
"117.265263,31.845703_117.265275,31.845169_117.265239,31.844536_117.265191,31.844517_117.264262,31.844932_117.264282,31.845668_117.265263,31.845703",万象生活广场,117.264784,31.845329
"117.314469,31.878279_117.315362,31.877812_117.31429,31.875962_117.314204,31.875942_117.313152,31.876536_117.314469,31.878279",万豪花园,117.314288,31.877099
"117.302843,31.854707_117.302528,31.854729_117.301542,31.854973_117.3018,31.855712_117.302062,31.855659_117.302867,31.85565_117.302843,31.854707",万达·中心名宅1期,117.302281,31.855222
