address,city,date,district,hotpot,href,info,level,op,price,size,structure,tax,title,year,avg_price
东一城,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19112014310100103037.html,中楼层(共18层)3室2厅|113平米|南北,中楼层(共18层,南北,88.0,113.0,3室2厅,0,东一城  全新精装修   边户保养好  中间楼层,0,0.7787611
正元香槟城,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19091514310100113563.html,高楼层(共17层)3室2厅|125平米|南,高楼层(共17层,南,65.5,125.0,3室2厅,0,正元香槟城  电梯毛坯三房 好装修 无浪费面积 南北通,0,0.524
长江金源豪庭,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19061514310100102561.html,高楼层(共6层)2室2厅|97.49平米|南北,高楼层(共6层,南北,65.0,97.49,2室2厅,0,金源豪庭 毛坯通透两房装修空间大 采光足 看房方便,0,0.66673505
正元香槟城,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19090414310100101118.html,中楼层(共6层)3室2厅|98平米|南,中楼层(共6层,南,70.0,98.0,3室2厅,0,正元香槟城精装修两房，满五唯一，楼层好,0,0.71428573
当涂冠景·御澜湾,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19080914310100101981.html,高楼层(共18层)3室2厅|115.24平米|南,高楼层(共18层,南,73.0,115.24,3室2厅,0,当涂冠景·御澜湾 3室2厅 南,0,0.63346064
当涂冠景·御澜湾,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19081214310100116482.html,低楼层(共26层)3室2厅|104平米|南,低楼层(共26层,南,65.0,104.0,3室2厅,0,毛坯三房 格局好 采光好  环境好,0,0.625
五星佳苑,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19092514310100100880.html,低楼层(共6层)2室1厅|78.85平米|南,低楼层(共6层,南,39.0,78.85,2室1厅,0,贝壳真房源五星佳苑房东诚心出售,0,0.49461004
长江金源豪庭,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19110814310100106958.html,高楼层(共11层)2室2厅|104.96平米|南北,高楼层(共11层,南北,77.0,104.96,2室2厅,0,金源豪庭精装两房，婚房装修，一天未住！,0,0.73361284
长江金源豪庭,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19111714310100111486.html,中楼层(共11层)4室2厅|159.01平米|南北,中楼层(共11层,南北,122.0,159.01,4室2厅,0,长江金源豪庭 4室2厅 南 北,0,0.7672474
缇香郡,马鞍山,2019-11-26,博望区,当涂县,https://mas.ke.com/ershoufang/19082614310100104083.html,高楼层(共5层)5室2厅|133平米|南,高楼层(共5层,南,120.0,133.0,5室2厅,0,缇香郡 5室2厅 南,0,0.90225565
