address,city,date,district,hotpot,href,info,level,op,price,size,structure,tax,title,year,avg_price
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19060915110100100188.html,中楼层(共6层)2室1厅|80.25平米|南北,中楼层(共6层,南北,59.0,80.25,2室1厅,0,化建新村 2室1厅 南 北,0,0.7352025
富春国际花园,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19050915110100104821.html,高楼层(共7层)3室2厅|114.28平米|南北,高楼层(共7层,南北,91.0,114.28,3室2厅,0,富春国际花园 3室2厅 南 北,0,0.7962898
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19050615110100101241.html,低楼层(共6层)2室1厅|80平米|南,低楼层(共6层,南,55.0,80.0,2室1厅,0,化建新村 2室1厅 南,0,0.6875
石化大湖新村(水上公园路),安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19042915110100100380.html,高楼层(共6层)|1990年建|2室1厅|58.1平米|南,高楼层(共6层),南,72.0,58.1,2室1厅,0,石化大湖新村(水上公园路) 2室1厅 南,1990,1.2392427
石化大湖新村(水上公园路),安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19112515110100101764.html,中楼层(共5层)2室1厅|66.8平米|南北,中楼层(共5层,南北,79.8,66.8,2室1厅,0,石化大湖新村(水上公园路) 2室1厅 南 北,0,1.1946107
尚城花园南苑,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19103115110100104251.html,中楼层(共11层)2室2厅|105.2平米|南北,中楼层(共11层,南北,55.0,105.2,2室2厅,0,尚城花园南苑 2室2厅 南 北,0,0.5228137
财和世家名都,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19092015110100101231.html,中楼层(共11层)3室2厅|116.05平米|南北,中楼层(共11层,南北,90.0,116.05,3室2厅,0,财和世家名都 3室2厅 南 北,0,0.7755278
化建新村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19072415110100104228.html,中楼层(共6层)2室2厅|83平米|南,中楼层(共6层,南,55.0,83.0,2室2厅,0,诚心出售 化建新村 精装房两房,0,0.6626506
花亭西村,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19070915110100102465.html,中楼层(共6层)|1990年建|1室1厅|46平米|西南,中楼层(共6层),西南,33.8,46.0,1室1厅,0,花亭西村 1室1厅 西南,1990,0.7347826
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19082515110100191369.html,低楼层(共30层)1室1厅|42平米|南,低楼层(共30层,南,30.0,42.0,1室1厅,0,华茂1958C区 1室1厅 南,0,0.71428573
黄梅阁,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19082515110100130590.html,高楼层(共7层)3室1厅|95平米|南,高楼层(共7层,南,68.0,95.0,3室1厅,0,黄梅阁 3室1厅 南,0,0.7157895
市府路南一巷,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19082515110100125283.html,高楼层(共7层)2室1厅|68平米|南,高楼层(共7层,南,52.8,68.0,2室1厅,0,市府路南一巷 2室1厅 南,0,0.7764706
胡滨街十二号,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19082415110100103326.html,中楼层(共6层)3室2厅|84.24平米|南北,中楼层(共6层,南北,73.7,84.24,3室2厅,0,胡滨街十二号 3室2厅 南 北,0,0.87488127
戏校南路南三巷,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19081515110100104065.html,中楼层(共7层)2室1厅|67平米|南,中楼层(共7层,南,50.0,67.0,2室1厅,0,戏校南路南三巷 2室1厅 南,0,0.74626863
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19081115110100106294.html,中楼层(共30层)1室1厅|41.5平米|南北,中楼层(共30层,南北,25.0,41.5,1室1厅,0,华茂1958C区 1室1厅 南 北,0,0.60240966
安庆湖滨供电小区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19080615110100106559.html,低楼层(共5层)|1990年建|2室1厅|61平米|南北,低楼层(共5层),南北,70.0,61.0,2室1厅,0,安庆湖滨供电小区 2室1厅 南 北,1990,1.1475409
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19080415110100101452.html,高楼层(共24层)1室1厅|43平米|北,高楼层(共24层,北,32.0,43.0,1室1厅,0,华茂1958C区 1室1厅 北,0,0.74418604
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19071815110100110049.html,中楼层(共15层)1室1厅|45平米|南北,中楼层(共15层,南北,45.0,45.0,1室1厅,0,华茂1958C区 1室1厅 南 北,0,1.0
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19071815110100109690.html,中楼层(共30层)1室1厅|43平米|东,中楼层(共30层,东,28.0,43.0,1室1厅,0,华茂1958C区 1室1厅 东,0,0.6511628
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19071615110100104328.html,高楼层(共12层)1室1厅|43平米|北,高楼层(共12层,北,43.0,43.0,1室1厅,0,华茂1958C区 1室1厅 北,0,1.0
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19070815110100116086.html,中楼层(共30层)1室1厅|41.75平米|东南,中楼层(共30层,东南,33.0,41.75,1室1厅,0,华茂1958C区 1室1厅 东南,0,0.79041916
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19070815110100110147.html,中楼层(共30层)1室1厅|43平米|西,中楼层(共30层,西,29.0,43.0,1室1厅,0,华茂1958C区 1室1厅 西,0,0.6744186
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19070815110100108899.html,中楼层(共30层)1室1厅|45平米|西,中楼层(共30层,西,26.5,45.0,1室1厅,0,华茂1958C区 1室1厅 西,0,0.5888889
华茂1958B区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19041815110100102418.html,中楼层(共12层)1室1厅|42平米|南,中楼层(共12层,南,32.0,42.0,1室1厅,0,华茂1958B区 1室1厅 南,0,0.7619048
华茂1958B区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19040715110100105566.html,中楼层(共12层)1室1厅|50.49平米|南,中楼层(共12层,南,54.0,50.49,1室1厅,0,华茂1958公寓 精装一室一厅的 房主诚心出售,0,1.0695187
纺织南村小区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19022015110100100786.html,高楼层(共7层)|1996年建|2室1厅|63平米|南,高楼层(共7层),南,49.0,63.0,2室1厅,0,纺织南村小区 2室1厅 南,1996,0.7777778
花好悦园,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/18113015110100106766.html,中楼层(共11层)|2005年建|3室2厅|111.25平米|南,中楼层(共11层),南,148.0,111.25,3室2厅,0,花好悦园 采光好 南北通透 看房方便 价格可谈,2005,1.330337
大园小区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19112515110100104295.html,低楼层(共6层)2室2厅|80.4平米|南北,低楼层(共6层,南北,68.0,80.4,2室2厅,0,大园小区 2室2厅 南 北,0,0.84577113
华茂1958A区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19112515110100100620.html,高楼层(共33层)3室2厅|109平米|南,高楼层(共33层,南,150.0,109.0,3室2厅,0,华茂1958A区 3室2厅 南,0,1.3761468
大园小区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19112015110100104315.html,高楼层(共6层)4室2厅|143平米|南,高楼层(共6层,南,108.0,143.0,4室2厅,0,大园小区 4室2厅 南,0,0.75524473
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19111015110100100528.html,高楼层(共8层)1室1厅|100平米|南,高楼层(共8层,南,50.0,100.0,1室1厅,0,华茂1958C区 1室1厅 南,0,0.5
花亭农贸市场,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19092615110100103453.html,低楼层(共6层)|1998年建|2室2厅|76.73平米|南,低楼层(共6层),南,90.0,76.73,2室2厅,0,花亭农贸市场 2室2厅 南,1998,1.1729441
华茂1958C区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19090715110100106840.html,高楼层(共6层)1室1厅|45平米|南北,高楼层(共6层,南北,28.0,45.0,1室1厅,0,华茂1958C区 1室1厅 南 北,0,0.62222224
纺织西路20号,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19090415110100103136.html,低楼层(共3层)2室1厅|75.03平米|南,低楼层(共3层,南,72.0,75.03,2室1厅,0,纺织西路20号 2室1厅 南,0,0.9596162
黄梅阁,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19082515110100157927.html,高楼层(共7层)2室2厅|70平米|南,高楼层(共7层,南,49.0,70.0,2室2厅,0,黄梅阁 2室2厅 南,0,0.7
集贤南路一百六十二号,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19081615110100107228.html,中楼层(共5层)2室1厅|65平米|南北,中楼层(共5层,南北,55.0,65.0,2室1厅,0,集贤南路一百六十二号 2室1厅 南 北,0,0.84615386
东二巷社区,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19041715110100102716.html,中楼层(共6层)2室2厅|82.32平米|南,中楼层(共6层,南,72.8,82.32,2室2厅,0,满五唯一，公园旁，好楼层，拎包入住,0,0.88435376
京安花苑,安庆,2019-11-26,大观区,菱湖,https://aq.ke.com/ershoufang/19012615110100100564.html,高楼层(共7层)|2000年建|2室2厅|90平米|南,高楼层(共7层),南,69.0,90.0,2室2厅,0,京安花苑 繁华地段 人流熙攘 交通便利 价格美丽,2000,0.76666665
石化一村南区,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19082515110100178019.html,中楼层(共4层)2室1厅|54.2平米|南,中楼层(共4层,南,39.0,54.2,2室1厅,0,石化一村南区 2室1厅 南,0,0.71955717
尚城花园北苑,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19042915110100103453.html,高楼层(共6层)3室2厅|120平米|南,高楼层(共6层,南,55.0,120.0,3室2厅,0,尚城花园北苑 3室2厅 南,0,0.45833334
石化一村南区,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19111015110100103274.html,中楼层(共4层)1室1厅|54.2平米|南,中楼层(共4层,南,36.0,54.2,1室1厅,0,石化一村南区 1室1厅 南,0,0.6642066
石化大湖新村(水上公园路),安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19110415110100109398.html,高楼层(共5层)2室1厅|74.5平米|南,高楼层(共5层,南,66.6,74.5,2室1厅,0,石化大湖新村(水上公园路) 2室1厅 南,0,0.8939597
石化大湖新村(水上公园路),安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19100715110100101884.html,高楼层(共6层)2室1厅|74平米|南,高楼层(共6层,南,74.0,74.0,2室1厅,0,石化大湖新村(水上公园路) 2室1厅 南,0,1.0
财和世家名都,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19062115110100100295.html,高楼层(共6层)3室2厅|100平米|南北,高楼层(共6层,南北,63.0,100.0,3室2厅,0,财和世家名都 3室2厅 南 北,0,0.63
富春国际花园,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19110815110100106236.html,低楼层(共7层)3室2厅|90.84平米|南,低楼层(共7层,南,68.0,90.84,3室2厅,0,此房是架空一楼 此价含13平左右地下室 采光无遮挡,0,0.74856895
安庆石化生活南区,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/18112515110100106377.html,低楼层(共7层)|2015年建|3室2厅|66平米|南北,低楼层(共7层),南北,73.0,66.0,3室2厅,0,安庆石化大湖生活区 石化大湖新村 双岗路,2015,1.1060606
石化大湖新村(双岗路),安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19091715110100106542.html,高楼层(共7层)2室1厅|57.95平米|南,高楼层(共7层,南,52.0,57.95,2室1厅,0,石化大湖新村(双岗路) 2室1厅 南,0,0.8973253
尚城花园北苑,安庆,2019-11-26,大观区,石化,https://aq.ke.com/ershoufang/19080415110100102878.html,中楼层(共6层)3室2厅|122平米|南北,中楼层(共6层,南北,65.0,122.0,3室2厅,0,尚城花园北苑 毛坯空置 中间好楼层 单价低,0,0.5327869
